astecid,date,cusip,isin,tradingsymbol,utilizationpercentunits,availableunits,availablemarketvalueusd
100258,2016-06-17,037833100,US0378331005,AAPL,1.42,497021247.0,48311237977.0334
100258,2016-06-20,037833100,US0378331005,AAPL,1.53,495995034.0,47359856316.1224
100258,2016-06-21,037833100,US0378331005,AAPL,1.65,495088345.0,47151984875.7472
100258,2016-06-22,037833100,US0378331005,AAPL,1.49,494853974.0,47409199818.9625
100258,2016-06-23,037833100,US0378331005,AAPL,1.53,495183825.0,47369683772.2133
100258,2016-06-24,037833100,US0378331005,AAPL,1.23,495959263.0,47449657633.1385
100258,2016-06-27,037833100,US0378331005,AAPL,1.28,492820198.0,46033569690.5515
100258,2016-06-28,037833100,US0378331005,AAPL,1.05,494336324.0,45661154663.457
100258,2016-06-29,037833100,US0378331005,AAPL,0.67,497287265.0,46546528399.805
100258,2016-06-30,037833100,US0378331005,AAPL,0.62,497668536.0,46966534109.0391
100258,2015-07-01,037833100,US0378331005,AAPL,0.04,567804035.7294,71265604472.533
100258,2015-07-02,037833100,US0378331005,AAPL,0.16,567028634.7294,71715770624.265
100258,2015-07-03,037833100,US0378331005,AAPL,0.16,566717430.7294,71661282928.2088
100258,2015-07-06,037833100,US0378331005,AAPL,0.09,566000059.7294,71526190315.9208
100258,2015-07-07,037833100,US0378331005,AAPL,0.03,565892652.4124,71302726292.6545
100258,2015-07-08,037833100,US0378331005,AAPL,0.03,566135417.0958,70954893613.0258
100258,2015-07-09,037833100,US0378331005,AAPL,0.14,566841099.6243,69542591149.7875
100258,2015-07-10,037833100,US0378331005,AAPL,0.16,532426689.842,64274169894.8691
100258,2015-07-13,037833100,US0378331005,AAPL,0.14,533459302.1274,65711740253.7056
100258,2015-07-14,037833100,US0378331005,AAPL,0.1,533371342.1307,66926082564.8648
100258,2015-07-15,037833100,US0378331005,AAPL,0.0,532684471.7947,67002476962.2807
100258,2015-07-16,037833100,US0378331005,AAPL,0.04,532511843.6587,67606056855.9848
100258,2015-07-17,037833100,US0378331005,AAPL,0.05,531982282.3378,68380902265.0667
100258,2015-07-20,037833100,US0378331005,AAPL,0.04,531475835.8051,69018570314.7302
100258,2015-07-21,037833100,US0378331005,AAPL,0.02,529334458.6327,69717200235.674
100258,2015-07-22,037833100,US0378331005,AAPL,0.2,529137369.6616,68850141239.1033
100258,2015-07-23,037833100,US0378331005,AAPL,0.18,528139601.6966,66353089101.2607
100258,2015-07-24,037833100,US0378331005,AAPL,0.17,530123827.9766,66308466011.4025
100258,2015-07-27,037833100,US0378331005,AAPL,0.23,532287602.246,66177901544.7706
100258,2015-07-28,037833100,US0378331005,AAPL,0.26,532283189.3966,65468705282.3339
100258,2015-07-29,037833100,US0378331005,AAPL,0.22,534424102.4385,65910023780.4034
100258,2015-07-30,037833100,US0378331005,AAPL,0.09,534346462.8314,65696818634.8069
100258,2015-07-31,037833100,US0378331005,AAPL,0.27,531007030.7483,64930776916.8172
100258,2015-08-03,037833100,US0378331005,AAPL,0.11,531341080.9933,64303756842.4198
100258,2015-08-04,037833100,US0378331005,AAPL,0.13,530871852.5233,62729550587.0516
100258,2015-08-05,037833100,US0378331005,AAPL,0.12,529732840.4515,60940985244.5979
100258,2015-08-06,037833100,US0378331005,AAPL,0.11,529139827.8016,61021323468.2656
100258,2015-08-07,037833100,US0378331005,AAPL,0.08,530413741.6641,61117873945.0844
100258,2015-08-10,037833100,US0378331005,AAPL,0.17,531260203.749,61660706812.1437
100258,2015-08-11,037833100,US0378331005,AAPL,0.07,534813650.749,63384304083.5575
100258,2015-08-12,037833100,US0378331005,AAPL,0.0,534046829.0427,60990006530.8458
100258,2015-08-13,037833100,US0378331005,AAPL,0.16,532632242.3726,61317085372.0851
100258,2015-08-14,037833100,US0378331005,AAPL,0.04,531011879.0316,61218518355.6713
100258,2015-08-17,037833100,US0378331005,AAPL,0.05,531631884.2559,61706527641.2864
100258,2015-08-18,037833100,US0378331005,AAPL,0.07,531818554.1142,62221650275.3971
100258,2015-08-19,037833100,US0378331005,AAPL,0.06,531985527.0007,61905073487.1938
100258,2015-08-20,037833100,US0378331005,AAPL,0.03,531760985.2664,61061173342.2441
100258,2015-08-21,037833100,US0378331005,AAPL,0.12,530485623.7243,59353264044.8486
100258,2015-08-24,037833100,US0378331005,AAPL,0.4,521606011.7849,55195385216.5375
100258,2015-08-25,037833100,US0378331005,AAPL,0.3,528387848.7075,54644551648.9211
100258,2015-08-26,037833100,US0378331005,AAPL,0.48,527380085.3631,55107649005.0807
100258,2015-08-27,037833100,US0378331005,AAPL,0.58,526522397.9671,57774339598.1424
100258,2015-08-28,037833100,US0378331005,AAPL,0.43,526072673.7882,59305016111.6446
100258,2015-08-31,037833100,US0378331005,AAPL,0.35,524064945.7882,59320824433.631
100258,2015-09-01,037833100,US0378331005,AAPL,0.7,525077206.2083,58875781925.3998
100258,2015-09-02,037833100,US0378331005,AAPL,0.94,524342593.2083,57072260658.336
100258,2015-09-03,037833100,US0378331005,AAPL,1.57,528030053.5447,58998216018.5075
100258,2015-09-04,037833100,US0378331005,AAPL,1.02,528458692.5447,58550511414.3693
100258,2015-09-07,037833100,US0378331005,AAPL,0.97,528550755.5447,57914842759.9389
100258,2015-09-08,037833100,US0378331005,AAPL,1.01,526634552.9475,57767615248.7358
100258,2015-09-09,037833100,US0378331005,AAPL,1.14,525140814.4624,58712635897.6668
100258,2015-09-10,037833100,US0378331005,AAPL,1.1,521754375.3667,57731765560.0145
100258,2015-09-11,037833100,US0378331005,AAPL,1.04,502623437.2076,56659384058.4366
100258,2015-09-14,037833100,US0378331005,AAPL,0.93,506281954.2076,57834132894.5206
100258,2015-09-15,037833100,US0378331005,AAPL,0.87,507061755.8115,58497293747.7275
100258,2015-09-16,037833100,US0378331005,AAPL,0.9,507615400.6321,59000813661.4122
